행정구역,2022년10월_총인구수,2022년10월_세대수,2022년10월_세대당 인구,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년10월_남여 비율,2022년11월_총인구수,2022년11월_세대수,2022년11월_세대당 인구,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년11월_남여 비율,2022년12월_총인구수,2022년12월_세대수,2022년12월_세대당 인구,2022년12월_남자 인구수,2022년12월_여자 인구수,2022년12월_남여 비율,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,total population,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율
경상북도 포항시 남구 해도동(4711154500),"16,955","9,944",1.71,"8,711","8,244",1.06,"16,931","9,950",1.7,"8,698","8,233",1.06,"16,893","9,942",1.7,"8,674","8,219",1.06,"16,867","9,950",1.7,"8,659","8,208",1.05,"16,835","9,956",1.69,"8,645","8,190",1.06,"16,783","9,947",1.69,"8,617","8,166",1.06,"16,747","9,946",1.68,"8,590","8,157",1.05,"16,688","9,935",1.68,"8,564","8,124",1.05,"16,661","9,926",1.68,"8,548","8,113",1.05,"16,651","9,927",1.68,"8,551","8,100",1.06,"16,632","9,926",1.68,"8,545","8,087",1.06,"16,626","9,936",1.67,"8,545","8,081",1.06,"16,613","9,936",1.67,"8,552","8,061",1.06,"16,572","9,912",1.67,"8,533","8,039",1.06,"16,537","9,912",1.67,"8,518","8,019",1.06,"16,550","9,927",1.67,"8,521","8,029",1.06,"16,563","9,952",1.66,"8,538","8,025",1.06,"16,535","9,952",1.66,"8,513","8,022",1.06
경상북도 포항시 남구 송도동(4711155000),"11,963","6,518",1.84,"5,973","5,990",1,"11,966","6,524",1.83,"5,963","6,003",0.99,"11,929","6,518",1.83,"5,945","5,984",0.99,"11,940","6,525",1.83,"5,957","5,983",1,"11,910","6,518",1.83,"5,956","5,954",1,"11,902","6,524",1.82,"5,951","5,951",1,"11,860","6,513",1.82,"5,922","5,938",1,"11,815","6,506",1.82,"5,899","5,916",1,"11,801","6,502",1.81,"5,888","5,913",1,"11,798","6,506",1.81,"5,887","5,911",1,"11,786","6,502",1.81,"5,874","5,912",0.99,"11,716","6,476",1.81,"5,839","5,877",0.99,"11,674","6,436",1.81,"5,811","5,863",0.99,"11,640","6,433",1.81,"5,806","5,834",1,"11,608","6,413",1.81,"5,797","5,811",1,"11,595","6,416",1.81,"5,792","5,803",1,"11,614","6,420",1.81,"5,799","5,815",1,"11,597","6,407",1.81,"5,789","5,808",1
경상북도 포항시 남구 청림동(4711156000),"4,656","2,612",1.78,"2,513","2,143",1.17,"4,631","2,602",1.78,"2,503","2,128",1.18,"4,630","2,611",1.77,"2,510","2,120",1.18,"4,725","2,700",1.75,"2,560","2,165",1.18,"4,732","2,721",1.74,"2,564","2,168",1.18,"4,737","2,727",1.74,"2,570","2,167",1.19,"4,772","2,759",1.73,"2,586","2,186",1.18,"4,793","2,810",1.71,"2,613","2,180",1.2,"4,793","2,823",1.7,"2,620","2,173",1.21,"4,808","2,848",1.69,"2,639","2,169",1.22,"4,845","2,878",1.68,"2,663","2,182",1.22,"4,842","2,874",1.68,"2,660","2,182",1.22,"4,845","2,878",1.68,"2,666","2,179",1.22,"4,831","2,873",1.68,"2,659","2,172",1.22,"4,822","2,863",1.68,"2,657","2,165",1.23,"4,824","2,879",1.68,"2,661","2,163",1.23,"4,804","2,879",1.67,"2,668","2,136",1.25,"4,786","2,869",1.67,"2,660","2,126",1.25
경상북도 포항시 남구 제철동(4711157000),"2,934","1,693",1.73,"1,772","1,162",1.52,"2,802","1,564",1.79,"1,657","1,145",1.45,"2,797","1,552",1.8,"1,649","1,148",1.44,"2,775","1,539",1.8,"1,633","1,142",1.43,"2,760","1,523",1.81,"1,621","1,139",1.42,"2,771","1,528",1.81,"1,630","1,141",1.43,"2,785","1,533",1.82,"1,639","1,146",1.43,"2,737","1,494",1.83,"1,606","1,131",1.42,"2,703","1,476",1.83,"1,579","1,124",1.4,"2,681","1,468",1.83,"1,564","1,117",1.4,"2,640","1,439",1.83,"1,533","1,107",1.38,"2,637","1,430",1.84,"1,524","1,113",1.37,"2,606","1,401",1.86,"1,495","1,111",1.35,"2,597","1,393",1.86,"1,489","1,108",1.34,"2,593","1,388",1.87,"1,486","1,107",1.34,"2,583","1,384",1.87,"1,480","1,103",1.34,"2,566","1,370",1.87,"1,468","1,098",1.34,"2,560","1,370",1.87,"1,465","1,095",1.34
경상북도 포항시 남구 효곡동(4711158000),"30,207","11,246",2.69,"15,384","14,823",1.04,"30,212","11,249",2.69,"15,386","14,826",1.04,"30,182","11,229",2.69,"15,351","14,831",1.04,"30,100","11,204",2.69,"15,325","14,775",1.04,"30,101","11,208",2.69,"15,346","14,755",1.04,"30,040","11,232",2.67,"15,312","14,728",1.04,"30,008","11,217",2.68,"15,297","14,711",1.04,"29,998","11,207",2.68,"15,295","14,703",1.04,"29,975","11,216",2.67,"15,289","14,686",1.04,"29,920","11,198",2.67,"15,278","14,642",1.04,"29,898","11,191",2.67,"15,266","14,632",1.04,"29,918","11,191",2.67,"15,284","14,634",1.04,"29,931","11,189",2.68,"15,289","14,642",1.04,"29,926","11,180",2.68,"15,284","14,642",1.04,"29,941","11,179",2.68,"15,301","14,640",1.05,"29,915","11,164",2.68,"15,297","14,618",1.05,"30,001","11,225",2.67,"15,362","14,639",1.05,"29,947","11,268",2.66,"15,336","14,611",1.05
경상북도 포항시 남구 대이동(4711159000),"25,117","10,273",2.44,"12,809","12,308",1.04,"25,119","10,291",2.44,"12,808","12,311",1.04,"25,104","10,293",2.44,"12,795","12,309",1.04,"25,075","10,304",2.43,"12,769","12,306",1.04,"24,988","10,325",2.42,"12,736","12,252",1.04,"24,995","10,346",2.42,"12,733","12,262",1.04,"25,008","10,369",2.41,"12,751","12,257",1.04,"24,938","10,366",2.41,"12,715","12,223",1.04,"24,962","10,398",2.4,"12,727","12,235",1.04,"24,918","10,407",2.39,"12,724","12,194",1.04,"24,916","10,415",2.39,"12,714","12,202",1.04,"24,889","10,416",2.39,"12,701","12,188",1.04,"24,920","10,450",2.38,"12,729","12,191",1.04,"24,884","10,443",2.38,"12,713","12,171",1.04,"24,881","10,437",2.38,"12,722","12,159",1.05,"24,880","10,434",2.38,"12,737","12,143",1.05,"24,864","10,442",2.38,"12,718","12,146",1.05,"24,775","10,447",2.37,"12,660","12,115",1.04
경상북도 경상북도 포항시 북구 (4711300000),"269,545","122,842",2.19,"133,960","135,585",0.99,"269,427","122,881",2.19,"133,952","135,475",0.99,"269,164","122,839",2.19,"133,845","135,319",0.99,"268,776","122,746",2.19,"133,658","135,118",0.99,"268,273","122,817",2.18,"133,413","134,860",0.99,"267,817","122,843",2.18,"133,180","134,637",0.99,"267,468","122,836",2.18,"133,007","134,461",0.99,"267,157","122,839",2.17,"132,844","134,313",0.99,"266,937","122,809",2.17,"132,716","134,221",0.99,"266,770","122,826",2.17,"132,657","134,113",0.99,"266,576","122,875",2.17,"132,588","133,988",0.99,"266,524","122,933",2.17,"132,596","133,928",0.99,"266,441","123,003",2.17,"132,562","133,879",0.99,"266,579","123,107",2.17,"132,606","133,973",0.99,"266,755","123,293",2.16,"132,733","134,022",0.99,"266,784","123,389",2.16,"132,743","134,041",0.99,"266,581","123,522",2.16,"132,676","133,905",0.99,"266,822","123,921",2.15,"132,841","133,981",0.99
경상북도 포항시 북구 흥해읍(4711325000),"40,479","18,048",2.24,"20,259","20,220",1,"40,461","18,060",2.24,"20,245","20,216",1,"40,382","18,052",2.24,"20,218","20,164",1,"40,315","18,033",2.24,"20,179","20,136",1,"40,227","18,016",2.23,"20,126","20,101",1,"40,128","18,008",2.23,"20,066","20,062",1,"40,093","18,003",2.23,"20,033","20,060",1,"40,037","17,984",2.23,"19,979","20,058",1,"40,036","17,989",2.23,"19,978","20,058",1,"40,013","17,986",2.22,"19,972","20,041",1,"39,981","17,990",2.22,"19,975","20,006",1,"39,915","17,966",2.22,"19,936","19,979",1,"39,943","17,993",2.22,"19,953","19,990",1,"40,428","18,245",2.22,"20,185","20,243",1,"40,732","18,419",2.21,"20,335","20,397",1,"40,822","18,475",2.21,"20,377","20,445",1,"41,102","18,626",2.21,"20,536","20,566",1,"42,368","19,216",2.2,"21,167","21,201",1
경상북도 포항시 북구 신광면(4711331000),"2,870","1,683",1.71,"1,427","1,443",0.99,"2,876","1,685",1.71,"1,432","1,444",0.99,"2,882","1,689",1.71,"1,436","1,446",0.99,"2,879","1,693",1.7,"1,439","1,440",1,"2,880","1,691",1.7,"1,438","1,442",1,"2,882","1,691",1.7,"1,436","1,446",0.99,"2,866","1,687",1.7,"1,429","1,437",0.99,"2,872","1,688",1.7,"1,431","1,441",0.99,"2,863","1,685",1.7,"1,428","1,435",1,"2,865","1,688",1.7,"1,428","1,437",0.99,"2,862","1,686",1.7,"1,434","1,428",1,"2,849","1,680",1.7,"1,427","1,422",1,"2,840","1,677",1.69,"1,421","1,419",1,"2,844","1,676",1.7,"1,423","1,421",1,"2,836","1,671",1.7,"1,420","1,416",1,"2,848","1,675",1.7,"1,423","1,425",1,"2,840","1,674",1.7,"1,424","1,416",1.01,"2,829","1,666",1.7,"1,420","1,409",1.01
경상북도 포항시 북구 청하면(4711332000),"4,684","2,758",1.7,"2,303","2,381",0.97,"4,678","2,748",1.7,"2,304","2,374",0.97,"4,665","2,739",1.7,"2,295","2,370",0.97,"4,650","2,739",1.7,"2,288","2,362",0.97,"4,648","2,731",1.7,"2,290","2,358",0.97,"4,640","2,734",1.7,"2,292","2,348",0.98,"4,621","2,728",1.69,"2,276","2,345",0.97,"4,615","2,729",1.69,"2,278","2,337",0.97,"4,614","2,730",1.69,"2,271","2,343",0.97,"4,601","2,730",1.69,"2,264","2,337",0.97,"4,586","2,724",1.68,"2,257","2,329",0.97,"4,614","2,733",1.69,"2,266","2,348",0.97,"4,575","2,711",1.69,"2,250","2,325",0.97,"4,562","2,703",1.69,"2,246","2,316",0.97,"4,570","2,697",1.69,"2,244","2,326",0.96,"4,588","2,699",1.7,"2,257","2,331",0.97,"4,584","2,697",1.7,"2,252","2,332",0.97,"4,563","2,693",1.69,"2,245","2,318",0.97
경상북도 포항시 북구 송라면(4711333000),"2,473","1,553",1.59,"1,184","1,289",0.92,"2,468","1,550",1.59,"1,184","1,284",0.92,"2,461","1,546",1.59,"1,180","1,281",0.92,"2,461","1,551",1.59,"1,178","1,283",0.92,"2,448","1,545",1.58,"1,170","1,278",0.92,"2,447","1,544",1.58,"1,170","1,277",0.92,"2,437","1,542",1.58,"1,166","1,271",0.92,"2,426","1,539",1.58,"1,160","1,266",0.92,"2,421","1,539",1.57,"1,156","1,265",0.91,"2,427","1,548",1.57,"1,160","1,267",0.92,"2,428","1,549",1.57,"1,163","1,265",0.92,"2,425","1,545",1.57,"1,164","1,261",0.92,"2,419","1,542",1.57,"1,161","1,258",0.92,"2,429","1,549",1.57,"1,169","1,260",0.93,"2,415","1,547",1.56,"1,161","1,254",0.93,"2,413","1,553",1.55,"1,153","1,260",0.92,"2,408","1,556",1.55,"1,155","1,253",0.92,"2,406","1,561",1.54,"1,158","1,248",0.93
경상북도 포항시 북구 기계면(4711334000),"4,969","2,754",1.8,"2,429","2,540",0.96,"4,969","2,755",1.8,"2,432","2,537",0.96,"4,981","2,764",1.8,"2,436","2,545",0.96,"4,967","2,767",1.8,"2,425","2,542",0.95,"4,943","2,760",1.79,"2,417","2,526",0.96,"4,942","2,765",1.79,"2,413","2,529",0.95,"4,948","2,766",1.79,"2,419","2,529",0.96,"4,945","2,768",1.79,"2,419","2,526",0.96,"4,927","2,765",1.78,"2,410","2,517",0.96,"4,916","2,759",1.78,"2,405","2,511",0.96,"4,911","2,756",1.78,"2,404","2,507",0.96,"4,893","2,747",1.78,"2,399","2,494",0.96,"4,894","2,753",1.78,"2,406","2,488",0.97,"4,887","2,747",1.78,"2,400","2,487",0.97,"4,894","2,748",1.78,"2,407","2,487",0.97,"4,889","2,755",1.77,"2,399","2,490",0.96,"4,866","2,750",1.77,"2,389","2,477",0.96,"4,847","2,748",1.76,"2,377","2,470",0.96
경상북도 포항시 북구 죽장면(4711335000),"2,135","1,408",1.52,"1,065","1,070",1,"2,135","1,408",1.52,"1,066","1,069",1,"2,126","1,408",1.51,"1,062","1,064",1,"2,116","1,408",1.5,"1,057","1,059",1,"2,114","1,405",1.5,"1,053","1,061",0.99,"2,110","1,400",1.51,"1,052","1,058",0.99,"2,103","1,394",1.51,"1,048","1,055",0.99,"2,093","1,381",1.52,"1,041","1,052",0.99,"2,090","1,377",1.52,"1,040","1,050",0.99,"2,087","1,375",1.52,"1,036","1,051",0.99,"2,072","1,365",1.52,"1,032","1,040",0.99,"2,077","1,370",1.52,"1,040","1,037",1,"2,080","1,367",1.52,"1,040","1,040",1,"2,076","1,367",1.52,"1,041","1,035",1.01,"2,067","1,362",1.52,"1,042","1,025",1.02,"2,074","1,363",1.52,"1,049","1,025",1.02,"2,070","1,359",1.52,"1,049","1,021",1.03,"2,063","1,359",1.52,"1,047","1,016",1.03
경상북도 포항시 북구 죽장면상옥출장소(4711335500),622,376,1.65,317,305,1.04,623,377,1.65,318,305,1.04,626,379,1.65,319,307,1.04,625,380,1.64,318,307,1.04,625,381,1.64,318,307,1.04,621,380,1.63,318,303,1.05,613,378,1.62,315,298,1.06,616,379,1.63,319,297,1.07,615,380,1.62,320,295,1.08,619,379,1.63,321,298,1.08,618,381,1.62,321,297,1.08,616,380,1.62,320,296,1.08,613,380,1.61,318,295,1.08,617,382,1.62,320,297,1.08,617,382,1.62,320,297,1.08,614,380,1.62,320,294,1.09,620,380,1.63,324,296,1.09,620,379,1.64,326,294,1.11
